reading_id,machine_id,timestamp,temperature,vibration,pressure,runtime_hours,energy_consumption,operating_load
R00000052,M0001,2024-01-13T18:00:00,93.33,6.595,149.69,8066.85,68.6,0.83
R00000053,M0001,2024-01-14T00:00:00,95.01,6.359,150.9,8072.85,69.27,1.0
R00000054,M0001,2024-01-14T06:00:00,94.0,6.682,148.45,8077.31,65.68,0.742
R00000055,M0001,2024-01-14T12:00:00,94.64,6.089,150.61,8082.71,64.5,0.901
R00000056,M0001,2024-01-14T18:00:00,95.94,6.114,146.55,8087.74,66.43,0.839
R00000057,M0001,2024-01-15T00:00:00,93.59,6.016,150.79,8092.27,62.27,0.755
R00000058,M0001,2024-01-15T06:00:00,95.95,6.128,144.15,8097.64,70.59,0.895
R00000059,M0001,2024-01-15T12:00:00,96.65,6.56,151.92,8103.26,69.94,0.937
R00000060,M0001,2024-01-15T18:00:00,91.46,5.906,148.37,8107.0,64.53,0.623
R00000061,M0001,2024-01-16T00:00:00,96.95,6.375,137.03,8112.0,67.69,0.832
R00000062,M0001,2024-01-16T06:00:00,92.99,5.938,152.27,8116.69,63.37,0.782
R00000063,M0001,2024-01-16T12:00:00,92.92,6.185,153.58,8121.71,65.2,0.837
R00000064,M0001,2024-01-16T18:00:00,89.57,6.612,150.37,8126.81,65.39,0.851
R00000065,M0001,2024-01-17T00:00:00,92.22,6.385,146.95,8131.99,66.11,0.863
R00000066,M0001,2024-01-17T06:00:00,94.79,6.12,148.21,8136.47,67.92,0.746
R00000067,M0001,2024-01-17T12:00:00,95.14,6.066,156.14,8141.26,63.58,0.799
R00000068,M0001,2024-01-17T18:00:00,95.56,6.329,157.25,8146.9,70.31,0.939
R00000069,M0001,2024-01-18T00:00:00,94.91,6.081,147.73,8152.34,68.16,0.907
R00000070,M0001,2024-01-18T06:00:00,97.23,6.362,152.04,8158.06,70.99,0.954
R00000071,M0001,2024-01-18T12:00:00,95.93,6.072,144.72,8163.29,65.76,0.872
R00000072,M0001,2024-01-18T18:00:00,91.88,5.805,144.56,8167.01,57.93,0.62
R00000073,M0001,2024-01-19T00:00:00,95.42,6.043,147.94,8170.99,63.35,0.663
R00000074,M0001,2024-01-19T06:00:00,96.7,6.148,157.77,8176.74,71.65,0.958
R00000075,M0001,2024-01-19T12:00:00,93.08,6.007,149.34,8181.34,65.51,0.766
R00000076,M0001,2024-01-19T18:00:00,94.73,5.925,156.06,8185.88,66.42,0.757
R00000077,M0001,2024-01-20T00:00:00,95.96,6.414,146.49,8191.86,67.04,0.996
R00000078,M0001,2024-01-20T06:00:00,98.03,5.975,143.19,8196.96,65.32,0.851
R00000079,M0001,2024-01-20T12:00:00,90.4,5.833,150.69,8200.82,63.65,0.643
R00000080,M0001,2024-01-20T18:00:00,90.78,5.778,153.65,8204.13,60.22,0.551
R00000081,M0001,2024-01-21T00:00:00,96.93,6.043,149.47,8208.67,67.62,0.757
R00000082,M0001,2024-01-21T06:00:00,97.59,6.232,151.3,8213.69,65.5,0.836
R00000083,M0001,2024-01-21T12:00:00,94.77,6.165,147.87,8218.7,65.77,0.836
R00000084,M0001,2024-01-21T18:00:00,91.22,6.212,147.95,8222.79,62.49,0.682
R00000085,M0001,2024-01-22T00:00:00,92.69,6.181,145.92,8228.06,69.23,0.878
R00000086,M0001,2024-01-22T06:00:00,95.91,6.124,139.95,8233.08,67.4,0.836
R00000087,M0001,2024-01-22T12:00:00,95.59,6.104,151.35,8239.08,70.02,1.0
R00000088,M0001,2024-01-22T18:00:00,88.4,5.818,143.2,8242.56,65.26,0.58
R00000089,M0001,2024-01-23T00:00:00,90.79,6.336,136.94,8247.16,64.87,0.765
R00000090,M0001,2024-01-23T06:00:00,95.23,6.281,152.06,8251.83,66.84,0.779
R00000091,M0001,2024-01-23T12:00:00,94.03,5.927,146.97,8255.22,67.05,0.565
R00000092,M0001,2024-01-23T18:00:00,95.18,6.153,149.49,8259.25,62.87,0.672
R00000093,M0001,2024-01-24T00:00:00,96.29,5.929,150.04,8263.44,67.1,0.698
R00000094,M0001,2024-01-24T06:00:00,98.33,5.994,140.81,8268.17,66.34,0.788
R00000095,M0001,2024-01-24T12:00:00,95.28,6.517,145.4,8273.33,66.83,0.861
R00000096,M0001,2024-01-24T18:00:00,89.91,6.108,144.58,8277.89,66.18,0.76
R00000097,M0001,2024-01-25T00:00:00,94.51,6.128,148.91,8283.23,65.46,0.889
R00000098,M0001,2024-01-25T06:00:00,93.78,6.041,142.24,8287.27,65.97,0.674
R00000099,M0001,2024-01-25T12:00:00,92.01,5.993,147.48,8292.55,66.55,0.88
R00000100,M0001,2024-01-25T18:00:00,89.99,6.361,147.77,8297.34,67.4,0.799
R00000101,M0001,2024-01-26T00:00:00,93.52,6.142,145.14,8300.68,66.27,0.556
R00000102,M0001,2024-01-26T06:00:00,95.44,6.425,138.14,8305.02,69.24,0.723
R00000103,M0001,2024-01-26T12:00:00,92.9,6.319,141.45,8309.17,65.48,0.692
R00000104,M0001,2024-01-26T18:00:00,92.67,6.014,148.25,8313.49,65.85,0.72
R00000105,M0001,2024-01-27T00:00:00,93.41,6.078,153.36,8319.33,69.7,0.974
R00000106,M0001,2024-01-27T06:00:00,94.68,6.27,148.35,8323.19,66.68,0.644
R00000107,M0001,2024-01-27T12:00:00,93.49,6.002,146.52,8327.85,65.86,0.776
R00000108,M0001,2024-01-27T18:00:00,91.36,6.113,158.81,8332.7,61.69,0.809
R00000109,M0001,2024-01-28T00:00:00,93.17,6.151,148.13,8337.71,67.98,0.836
R00000110,M0001,2024-01-28T06:00:00,97.11,6.42,139.8,8343.29,72.33,0.929
R00000111,M0001,2024-01-28T12:00:00,96.33,6.38,144.84,8348.33,68.45,0.841
R00000112,M0001,2024-01-28T18:00:00,92.94,6.298,140.95,8353.12,68.41,0.798
R00000113,M0001,2024-01-29T00:00:00,93.93,6.436,149.59,8357.93,61.97,0.801
R00000114,M0001,2024-01-29T06:00:00,93.93,5.996,147.79,8363.16,69.05,0.871
R00000115,M0001,2024-01-29T12:00:00,92.98,6.082,152.35,8367.84,67.03,0.78
R00000116,M0001,2024-01-29T18:00:00,91.83,6.435,148.81,8372.38,62.25,0.758
R00000117,M0001,2024-01-30T00:00:00,94.94,6.822,144.15,8377.68,68.35,0.883
R00000118,M0001,2024-01-30T06:00:00,99.18,6.322,150.1,8383.67,70.03,0.998
R00000119,M0001,2024-01-30T12:00:00,93.25,5.976,141.85,8388.65,66.36,0.831
R00000120,M0001,2024-01-30T18:00:00,92.36,6.525,151.82,8393.75,67.55,0.85
R00000121,M0001,2024-01-31T00:00:00,93.35,6.381,143.13,8398.07,65.17,0.72
R00000122,M0001,2024-01-31T06:00:00,95.73,6.252,146.71,8403.68,68.66,0.935
R00000123,M0001,2024-01-31T12:00:00,95.67,6.095,141.57,8408.39,64.17,0.784
R00000124,M0001,2024-01-31T18:00:00,90.02,6.017,145.43,8412.84,69.33,0.741
R00000125,M0001,2024-02-01T00:00:00,93.56,6.162,144.27,8416.49,65.73,0.609
R00000126,M0001,2024-02-01T06:00:00,95.07,6.381,143.9,8419.76,66.68,0.544
R00000127,M0001,2024-02-01T12:00:00,94.61,6.214,139.92,8425.23,68.83,0.913
R00000128,M0001,2024-02-01T18:00:00,90.68,5.954,145.35,8429.96,63.63,0.788
R00000129,M0001,2024-02-02T00:00:00,92.36,6.34,142.89,8435.16,65.15,0.867
R00000130,M0001,2024-02-02T06:00:00,99.09,6.114,145.7,8441.16,68.51,1.0
R00000131,M0001,2024-02-02T12:00:00,94.38,5.958,147.62,8446.01,65.95,0.808
R00000132,M0001,2024-02-02T18:00:00,90.72,6.113,141.2,8449.85,63.91,0.641
R00000133,M0001,2024-02-03T00:00:00,93.96,5.984,152.56,8454.11,66.85,0.71
R00000134,M0001,2024-02-03T06:00:00,96.42,6.076,144.32,8458.05,67.37,0.656
R00000135,M0001,2024-02-03T12:00:00,95.49,6.148,144.89,8462.52,65.52,0.746
R00000136,M0001,2024-02-03T18:00:00,94.0,6.09,153.67,8466.95,70.89,0.738
R00000137,M0001,2024-02-04T00:00:00,93.77,6.241,143.81,8471.07,64.73,0.687
R00000138,M0001,2024-02-04T06:00:00,93.64,5.877,142.12,8475.17,67.1,0.684
R00000139,M0001,2024-02-04T12:00:00,98.49,5.997,147.14,8479.37,64.94,0.699
R00000140,M0001,2024-02-04T18:00:00,95.41,6.174,144.05,8485.29,68.56,0.988
R00000141,M0001,2024-02-05T00:00:00,96.08,6.105,147.05,8489.35,61.61,0.677
R00000142,M0001,2024-02-05T06:00:00,96.64,6.258,151.02,8493.5,63.97,0.692
R00000143,M0001,2024-02-05T12:00:00,96.18,6.527,147.91,8498.5,68.88,0.833
R00000144,M0001,2024-02-05T18:00:00,89.14,6.008,146.16,8503.1,63.78,0.767
R00000145,M0001,2024-02-06T00:00:00,93.18,5.884,148.86,8507.53,64.78,0.738
R00000146,M0001,2024-02-06T06:00:00,95.98,6.556,149.12,8512.06,67.89,0.755
R00000147,M0001,2024-02-06T12:00:00,95.93,6.607,140.2,8516.89,68.78,0.804
R00000148,M0001,2024-02-06T18:00:00,92.75,6.081,150.19,8521.68,67.86,0.799
R00000149,M0001,2024-02-07T00:00:00,94.12,6.7,151.02,8526.8,70.42,0.853
R00000150,M0001,2024-02-07T06:00:00,94.96,6.213,151.51,8532.03,70.7,0.871
R00000151,M0001,2024-02-07T12:00:00,93.35,6.104,147.12,8536.25,63.37,0.704
R00000152,M0001,2024-02-07T18:00:00,93.7,5.987,148.87,8541.32,65.82,0.846
R00000153,M0001,2024-02-08T00:00:00,93.63,6.256,149.01,8547.1,69.24,0.963
R00000154,M0001,2024-02-08T06:00:00,92.94,6.501,146.48,8550.91,63.56,0.635
R00000155,M0001,2024-02-08T12:00:00,95.16,6.111,148.21,8555.46,66.13,0.758
R00000156,M0001,2024-02-08T18:00:00,93.68,6.221,147.62,8560.7,69.11,0.874
R00000157,M0001,2024-02-09T00:00:00,92.13,6.184,143.89,8565.76,69.01,0.843
R00000158,M0001,2024-02-09T06:00:00,97.18,6.065,147.78,8571.24,69.72,0.913
R00000159,M0001,2024-02-09T12:00:00,94.45,6.193,145.21,8575.79,65.32,0.759
R00000160,M0001,2024-02-09T18:00:00,89.94,6.455,149.39,8579.8,68.53,0.669
R00000161,M0001,2024-02-10T00:00:00,92.37,6.299,154.33,8585.54,65.96,0.957
R00000162,M0001,2024-02-10T06:00:00,92.72,6.022,143.72,8590.41,66.26,0.811
R00000163,M0001,2024-02-10T12:00:00,94.25,6.141,143.32,8594.18,63.39,0.628
R00000164,M0001,2024-02-10T18:00:00,90.71,5.934,139.88,8597.56,64.55,0.563
R00000165,M0001,2024-02-11T00:00:00,92.17,6.075,151.34,8602.06,66.66,0.751
R00000166,M0001,2024-02-11T06:00:00,97.04,6.315,147.68,8606.77,68.36,0.786
R00000167,M0001,2024-02-11T12:00:00,94.73,6.152,149.19,8611.26,67.76,0.748
R00000168,M0001,2024-02-11T18:00:00,92.73,6.73,142.76,8614.14,67.61,0.479
R00000169,M0001,2024-02-12T00:00:00,91.59,6.275,151.29,8618.73,61.55,0.765
R00000170,M0001,2024-02-12T06:00:00,96.66,6.437,146.45,8624.27,66.67,0.924
R00000171,M0001,2024-02-12T12:00:00,96.04,6.598,146.9,8629.65,66.88,0.895
R00000172,M0001,2024-02-12T18:00:00,90.96,6.595,148.68,8635.3,64.35,0.942
R00000173,M0001,2024-02-13T00:00:00,92.5,6.307,147.43,8639.65,63.25,0.725
R00000174,M0001,2024-02-13T06:00:00,94.11,6.359,142.89,8643.01,63.86,0.56
R00000175,M0001,2024-02-13T12:00:00,97.14,5.863,147.84,8647.24,63.14,0.704
R00000176,M0001,2024-02-13T18:00:00,92.44,6.221,150.55,8651.61,63.14,0.728
R00000177,M0001,2024-02-14T00:00:00,93.1,5.952,144.98,8656.22,65.09,0.768
R00000178,M0001,2024-02-14T06:00:00,94.68,6.069,148.37,8660.86,66.37,0.774
R00000179,M0001,2024-02-14T12:00:00,95.36,5.965,146.13,8665.38,66.77,0.753
R00000180,M0001,2024-02-14T18:00:00,91.22,6.339,141.97,8671.3,67.11,0.987
R00000181,M0001,2024-02-15T00:00:00,96.05,6.118,146.93,8677.14,68.29,0.973
R00000182,M0001,2024-02-15T06:00:00,94.58,5.999,148.2,8681.77,64.77,0.772
R00000183,M0001,2024-02-15T12:00:00,91.47,5.986,149.03,8686.04,65.23,0.711
R00000184,M0001,2024-02-15T18:00:00,93.2,6.142,149.67,8691.48,66.54,0.906
R00000185,M0001,2024-02-16T00:00:00,97.71,6.031,144.67,8695.93,68.52,0.742
R00000186,M0001,2024-02-16T06:00:00,93.83,6.335,147.53,8700.89,64.62,0.828
R00000187,M0001,2024-02-16T12:00:00,96.05,6.467,155.47,8706.48,70.02,0.931
R00000188,M0001,2024-02-16T18:00:00,95.17,5.975,147.55,8711.27,65.33,0.799
R00000189,M0001,2024-02-17T00:00:00,95.43,5.976,145.18,8716.45,67.43,0.864
R00000190,M0001,2024-02-17T06:00:00,93.76,6.429,149.76,8721.21,61.45,0.792
R00000191,M0001,2024-02-17T12:00:00,93.58,6.396,145.98,8726.14,68.31,0.823
R00000192,M0001,2024-02-17T18:00:00,92.42,6.143,145.56,8730.68,67.75,0.756
R00000193,M0001,2024-02-18T00:00:00,94.17,6.155,149.3,8734.83,70.11,0.691
R00000194,M0001,2024-02-18T06:00:00,93.26,6.201,149.51,8739.12,66.96,0.716
R00000195,M0001,2024-02-18T12:00:00,92.42,6.197,143.11,8743.99,68.46,0.811
R00000196,M0001,2024-02-18T18:00:00,94.19,6.284,147.4,8749.99,64.07,1.0
R00000197,M0001,2024-02-19T00:00:00,92.05,6.373,153.68,8754.39,66.37,0.734
R00000198,M0001,2024-02-19T06:00:00,95.77,6.014,151.67,8759.44,67.19,0.842
R00000199,M0001,2024-02-19T12:00:00,94.26,6.086,142.79,8764.59,62.68,0.858
R00000200,M0001,2024-02-19T18:00:00,92.41,6.347,147.31,8769.22,66.21,0.771
R00000201,M0001,2024-02-20T00:00:00,91.41,5.873,147.24,8772.6,61.35,0.563
R00000202,M0001,2024-02-20T06:00:00,97.9,6.206,147.45,8777.5,67.39,0.817
R00000203,M0001,2024-02-20T12:00:00,94.68,5.933,149.51,8781.89,66.38,0.731
R00000204,M0001,2024-02-20T18:00:00,93.13,6.267,151.7,8787.23,65.15,0.89
R00000205,M0001,2024-02-21T00:00:00,95.8,5.851,139.56,8790.83,64.27,0.601
R00000206,M0001,2024-02-21T06:00:00,96.06,6.167,153.67,8796.14,65.67,0.885
R00000207,M0001,2024-02-21T12:00:00,94.15,5.986,148.85,8800.42,67.79,0.712
R00000208,M0001,2024-02-21T18:00:00,93.42,6.028,148.08,8805.35,66.42,0.822
R00000209,M0001,2024-02-22T00:00:00,95.71,6.133,148.03,8810.29,65.66,0.824
R00000210,M0001,2024-02-22T06:00:00,96.06,5.994,156.11,8815.13,66.07,0.807
R00000211,M0001,2024-02-22T12:00:00,96.34,5.991,156.93,8820.21,66.69,0.846
R00000212,M0001,2024-02-22T18:00:00,91.31,6.072,148.9,8825.23,67.23,0.836
R00000213,M0001,2024-02-23T00:00:00,96.6,5.981,146.69,8830.24,73.19,0.835
R00000214,M0001,2024-02-23T06:00:00,95.09,6.198,144.43,8835.3,69.28,0.843
R00000215,M0001,2024-02-23T12:00:00,94.27,5.91,150.13,8839.86,64.25,0.76
R00000216,M0001,2024-02-23T18:00:00,92.2,6.036,147.99,8843.95,63.3,0.682
R00000217,M0001,2024-02-24T00:00:00,93.42,6.162,144.68,8849.19,69.43,0.875
R00000218,M0001,2024-02-24T06:00:00,97.48,6.412,158.92,8854.41,65.24,0.87
R00000219,M0001,2024-02-24T12:00:00,92.78,6.153,142.93,8858.72,65.01,0.719
R00000220,M0001,2024-02-24T18:00:00,92.3,5.831,148.43,8862.72,65.66,0.666
R00000221,M0001,2024-02-25T00:00:00,94.0,6.715,149.09,8867.92,63.99,0.866
R00000222,M0001,2024-02-25T06:00:00,92.5,5.838,146.33,8872.06,63.83,0.69
R00000223,M0001,2024-02-25T12:00:00,96.3,6.334,145.73,8878.06,66.75,1.0
R00000224,M0001,2024-02-25T18:00:00,92.79,6.573,147.02,8882.88,66.85,0.804
R00000225,M0001,2024-02-26T00:00:00,92.76,6.09,146.81,8887.54,65.99,0.776
R00000226,M0001,2024-02-26T06:00:00,98.27,6.076,146.47,8892.74,69.46,0.867
R00000227,M0001,2024-02-26T12:00:00,93.9,6.25,151.93,8897.94,69.74,0.867
R00000228,M0001,2024-02-26T18:00:00,92.07,6.081,149.28,8903.92,66.39,0.996
R00000229,M0001,2024-02-27T00:00:00,91.35,5.895,144.18,8908.29,64.8,0.729
R00000230,M0001,2024-02-27T06:00:00,93.72,5.932,147.54,8912.56,66.82,0.713
R00000231,M0001,2024-02-27T12:00:00,95.84,6.25,145.18,8918.56,65.8,1.0
R00000232,M0001,2024-02-27T18:00:00,91.86,6.425,148.91,8924.41,66.83,0.974
R00000233,M0001,2024-02-28T00:00:00,93.21,6.271,143.81,8928.61,63.01,0.701
R00000234,M0001,2024-02-28T06:00:00,97.48,6.22,142.49,8934.03,67.09,0.904
R00000235,M0001,2024-02-28T12:00:00,96.22,6.278,147.3,8938.8,69.1,0.794
R00000236,M0001,2024-02-28T18:00:00,92.79,6.124,146.84,8942.03,65.2,0.538
R00000237,M0001,2024-02-29T00:00:00,95.86,6.847,145.64,8947.54,69.47,0.919
R00000238,M0001,2024-02-29T06:00:00,96.76,6.179,149.81,8952.21,67.21,0.779
R00000239,M0001,2024-02-29T12:00:00,92.38,5.903,141.9,8955.8,65.74,0.597
R00000240,M0001,2024-02-29T18:00:00,93.24,7.072,143.61,8961.2,72.35,0.9
R00000241,M0001,2024-03-01T00:00:00,90.57,6.304,147.24,8965.63,67.41,0.74
R00000242,M0001,2024-03-01T06:00:00,97.02,6.071,150.56,8970.62,72.61,0.83
R00000243,M0001,2024-03-01T12:00:00,92.17,6.162,152.86,8976.06,68.86,0.907
R00000244,M0001,2024-03-01T18:00:00,94.19,6.207,157.07,8980.58,64.92,0.753
R00000245,M0001,2024-03-02T00:00:00,93.44,6.047,143.84,8985.04,60.05,0.744
R00000246,M0001,2024-03-02T06:00:00,96.43,6.054,154.64,8989.55,67.19,0.752
R00000247,M0001,2024-03-02T12:00:00,95.5,6.323,149.87,8995.21,71.07,0.942
R00000248,M0001,2024-03-02T18:00:00,93.35,6.053,146.62,9000.04,66.98,0.806
R00000249,M0001,2024-03-03T00:00:00,94.91,6.227,154.05,9006.04,70.47,1.0
R00000250,M0001,2024-03-03T06:00:00,92.03,6.102,139.25,9010.85,68.73,0.801
R00000251,M0001,2024-03-03T12:00:00,96.07,6.251,141.92,9015.76,68.24,0.819
R00000252,M0001,2024-03-03T18:00:00,91.61,5.947,158.16,9020.54,66.92,0.796
R00000253,M0001,2024-03-04T00:00:00,96.34,6.53,147.87,9026.03,64.48,0.915
R00000254,M0001,2024-03-04T06:00:00,97.34,6.243,146.83,9030.71,66.56,0.779
R00000255,M0001,2024-03-04T12:00:00,96.45,6.28,151.35,9036.5,68.56,0.965
R00000256,M0001,2024-03-04T18:00:00,90.57,6.703,148.41,9041.43,66.9,0.822
R00000257,M0001,2024-03-05T00:00:00,97.67,6.576,144.94,9047.03,68.78,0.933
R00000258,M0001,2024-03-05T06:00:00,100.66,6.48,152.35,9052.15,69.39,0.853
R00000259,M0001,2024-03-05T12:00:00,95.08,6.228,145.99,9056.36,66.41,0.703
R00000260,M0001,2024-03-05T18:00:00,92.83,6.914,150.99,9062.21,66.84,0.975
R00000261,M0001,2024-03-06T00:00:00,94.15,6.02,150.71,9067.04,63.18,0.805
R00000262,M0001,2024-03-06T06:00:00,96.92,6.089,141.1,9071.5,68.79,0.743
R00000263,M0001,2024-03-06T12:00:00,94.87,6.705,151.34,9077.04,65.05,0.924
R00000264,M0001,2024-03-06T18:00:00,91.15,6.353,146.26,9082.05,65.5,0.834
R00000265,M0001,2024-03-07T00:00:00,94.88,6.019,150.83,9086.42,66.92,0.729
R00000266,M0001,2024-03-07T06:00:00,94.18,6.435,148.16,9090.76,66.01,0.723
R00000267,M0001,2024-03-07T12:00:00,91.92,6.027,151.57,9094.0,60.58,0.539
R00000268,M0001,2024-03-07T18:00:00,93.48,6.268,143.57,9097.84,64.43,0.641
R00000269,M0001,2024-03-08T00:00:00,90.69,6.626,147.15,9103.05,69.61,0.868
R00000270,M0001,2024-03-08T06:00:00,95.98,6.278,155.29,9107.56,66.16,0.752
R00000271,M0001,2024-03-08T12:00:00,97.36,6.451,151.56,9112.35,66.35,0.798
R00000272,M0001,2024-03-08T18:00:00,92.12,6.264,144.02,9117.22,66.6,0.811
R00000273,M0001,2024-03-09T00:00:00,94.65,6.032,150.72,9122.68,65.12,0.91
R00000274,M0001,2024-03-09T06:00:00,97.91,6.896,146.89,9127.97,68.98,0.881
R00000275,M0001,2024-03-09T12:00:00,96.13,6.175,146.81,9133.27,69.05,0.885
R00000276,M0001,2024-03-09T18:00:00,91.27,5.879,150.73,9137.53,63.19,0.709
R00000277,M0001,2024-03-10T00:00:00,89.9,6.199,141.06,9141.11,63.58,0.597
R00000278,M0001,2024-03-10T06:00:00,94.16,6.086,144.95,9145.13,68.62,0.669
R00000279,M0001,2024-03-10T12:00:00,94.7,6.14,146.61,9150.36,67.88,0.873
R00000280,M0001,2024-03-10T18:00:00,91.28,5.984,140.46,9155.55,65.88,0.864
R00000281,M0001,2024-03-11T00:00:00,94.25,6.623,144.99,9160.85,68.38,0.884
R00000282,M0001,2024-03-11T06:00:00,95.88,5.957,148.05,9165.63,68.75,0.796
R00000283,M0001,2024-03-11T12:00:00,95.1,6.327,146.22,9171.34,69.7,0.952
R00000284,M0001,2024-03-11T18:00:00,93.86,6.627,146.54,9175.63,62.33,0.716
R00000285,M0001,2024-03-12T00:00:00,96.03,6.065,148.13,9180.07,69.07,0.74
R00000286,M0001,2024-03-12T06:00:00,98.57,6.284,153.99,9185.19,69.73,0.853
R00000287,M0001,2024-03-12T12:00:00,94.58,6.21,155.21,9190.59,67.85,0.9
R00000288,M0001,2024-03-12T18:00:00,93.59,6.196,148.42,9195.92,69.92,0.889
R00000289,M0001,2024-03-13T00:00:00,92.26,6.044,155.47,9201.09,65.48,0.861
R00000290,M0001,2024-03-13T06:00:00,98.9,6.0,145.79,9204.7,66.57,0.602
R00000291,M0001,2024-03-13T12:00:00,94.84,6.417,150.93,9210.21,68.49,0.919
R00000292,M0001,2024-03-13T18:00:00,93.24,6.299,144.06,9215.11,63.17,0.816
R00000293,M0001,2024-03-14T00:00:00,96.83,6.142,150.0,9220.31,67.39,0.868
R00000294,M0001,2024-03-14T06:00:00,97.73,6.16,146.97,9225.63,72.81,0.887
R00000295,M0001,2024-03-14T12:00:00,95.47,6.355,145.65,9229.29,65.67,0.609
